remark;"CSV-Import-Export"
remark;"Date = Fri Jul 29 11:57:42 2022"
remark;"Version = RSLogix 5000 v31.02"
remark;"Owner = enviro"
remark;"Company = "
0.3
TYPE;SCOPE;NAME;DESCRIPTION;DATATYPE;SPECIFIER;ATTRIBUTES
TAG;;Local:11:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:11:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:12:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:12:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:12:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:13:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:13:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:13:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:14:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:14:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:14:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:15:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:15:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:15:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:2:C;"";"AB:1756_MODULE:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:2:I;"";"AB:1756_MODULE_INT_500Bytes:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:2:O;"";"AB:1756_MODULE_INT_496Bytes:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:3:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:3:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:4:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:4:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:5:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:5:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:6:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:6:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:7:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:7:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Local:8:C;"";"AB:1756_DI:C:1";"";"(ExternalAccess := Read/Write)"
TAG;;Local:8:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:1:C;"";"AB:1756_DI:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:1:I;"";"AB:1756_DI:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:2:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:2:I;"";"AB:1756_DO:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:2:O;"";"AB:1756_DO:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:3:C;"";"AB:1756_OF8_Float:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack1_ENBT:3:I;"";"AB:1756_OF8_Float:I:0";"";"(ExternalAccess := Read/Write)"
